Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
XKI-USD,Ki USD,0.044281,-0.00234,-5.02%,0,"1,848","1,848","1,848",0
2SHARES-USD,2SHARE USD,1.6945,-0.029,-1.69%,0,19,19,19,0
GETH23669-USD,Goerli ETH USD,0.153071,0.011094,7.81%,0,"195,438","195,438","195,438",0
AKTA-USD,Akita Inu USD,0.000441,-0.000033,-6.95%,0,"4,686","4,686","4,686",0
TCGC-USD,TCG Verse USD,0.053718,-0.002965,-5.23%,0,711,711,711,0
NZDS-USD,NZD Stablecoin USD,0.606025,0,0.00%,0,141,141,141,0
REAU-USD,Vira-lata Finance USD,0,0,-4.37%,0,380,380,380,0
UNDEAD19903-USD,Undead Blocks USD,0.168573,-0.008967,-5.05%,0,"248,368","248,368","248,368",0
POCO-USD,Pocoland USD,0.00094,-0.000056,-5.61%,0,197,197,197,0
CREDIT6668-USD,PROXI USD,0.006979,-0.000356,-4.86%,0,"19,872","19,872","19,872",0
WARS-USD,MetaWars USD,0.000779,-0.000026,-3.17%,0,"2,452","2,452","2,452",0
SPRITZMOON-USD,SpritzMoon Crypto Token USD,0.000025,0,-0.90%,0,"1,137","1,137","1,137",0
SOLIDSEX-USD,SOLIDsex: Tokenized veSOLID USD,0.004817,-0.000687,-12.48%,0,41,41,41,0
BUX5174-USD,Buxcoin USD,0.000804,0,0.03%,0,161,161,161,0
STEAK20266-USD,SteakHut Finance USD,0.332784,-0.030639,-8.43%,0,"17,329","17,329","17,329",0
TLC24245-USD,Trillioner USD,15.72,-0.1,-0.63%,0,"325,871","325,871","325,871",0
EXFI-USD,Flare Finance USD,0.185873,-0.008709,-4.48%,0,"152,147","152,147","152,147",0
BTNYX-USD,BitOnyx USD,0.008214,-0.00076,-8.47%,0,76,76,76,0
BKK-USD,BKEX Chain USD,0.171554,-0.043615,-20.27%,0,1.773M,1.773M,1.773M,0
PSY-USD,PSY Coin USD,0.004395,-0.00023,-4.96%,0,"91,299","91,299","91,299",0
SCT16098-USD,SolClout USD,0.000055,-0.000006,-9.31%,0,0,0,0,0
BLS12693-USD,Metacourt USD,0.000194,-0.000008,-4.03%,0,455,455,455,0
RIDGE-USD,Ridge USD,0.00000022,0,0.00%,0,"48,052","48,052","48,052",0
OSK-USD,OSK USD,3.7428,-0.1097,-2.85%,0,594,594,594,0
SLC16181-USD,Solice USD,0.003004,0.000133,4.65%,0,"35,592","35,592","35,592",0
GOAT-USD,Goatcoin USD,0.000689,0.000001,0.21%,0,197,197,197,0
XTAL-USD,Tales of Xtalnia USD,0.007935,-0.000889,-10.08%,0,50,50,50,0
XTRA-USD,XTRA Token USD,0.00000027,0,-0.08%,0,119,119,119,0
FIA-USD,FIA Protocol USD,0.000074,0,-0.08%,0,0,0,0,0
LOOP20998-USD,Loop X Network USD,0.000013,0.000002,15.39%,0,15,15,15,0
TRONPAD-USD,TRONPAD USD,0.002472,-0.000121,-4.65%,0,92,92,92,0
GPT23846-USD,CryptoGPT USD,0.023725,-0.002229,-8.59%,0,5.587M,5.587M,5.587M,0
BIDEN24674-USD,Biden USD,0.000016,-0.000001,-4.96%,0,141,141,141,0
TNGBL-USD,Tangible USD,3.3803,-0.0176,-0.52%,0,818,818,818,0
NUDES-USD,NUDES USD,0,0,-6.89%,0,"2,559","2,559","2,559",0
KAIBA-USD,Kaiba DeFi USD,0.000521,0,0.00%,0,"22,919","22,919","22,919",0
YT-USD,Cherry Token USD,0.039422,-0.00003,-0.08%,0,0,0,0,0
EVT5147-USD,EXVA USD,0.0003,-0.0001,-25.06%,0,N/A,N/A,N/A,0
PEPA-USD,Pepa Inu USD,0,0,-21.12%,0,"477,298","477,298","477,298",0
MNDE-USD,Marinade USD,0.032782,-0.003434,-9.48%,0,"294,934","294,934","294,934",0
WSYS-USD,Wrapped Syscoin USD,0.118808,-0.02076,-14.87%,0,"6,022","6,022","6,022",0
TANG-USD,Tangent USD,0.002116,0.000494,30.46%,0,32,32,32,0
GHSP-USD,Ghospers Game USD,0.002418,-0.00002,-0.81%,0,783,783,783,0
BZRX-USD,bZx Protocol USD,0.173153,-0.000133,-0.08%,0,3,3,3,0
WHIVE-USD,Whive Protocol USD,0.002001,-0.000002,-0.08%,0,1,1,1,0
SPEED-USD,Speed Star SPEED USD,0.0000075,-0.00000009,-1.13%,0,4,4,4,0
VST-USD,Voice Street USD,0.002459,-0.000004,-0.17%,0,"14,020","14,020","14,020",0
RATS-USD,Ratscoin USD,0,0,-6.66%,0,"1,794","1,794","1,794",0
PEAR-USD,Pear Token USD,0.000235,0.000001,0.49%,0,21,21,21,0
METAMUSK-USD,Musk Metaverse USD,0,0,0.43%,0,82,82,82,0
LPL-USD,LinkPool USD,0.185178,-0.011293,-5.75%,0,168,168,168,0
NOAH-USD,Noah USD,0.000199,0,0.00%,0,0,0,0,0
RUSD-USD,Reflecto USD USD,0.947017,-0.034342,-3.50%,0,130,130,130,0
PALM22442-USD,PalmPay USD,1.1542,0.0679,6.25%,0,2.279M,2.279M,2.279M,0
AIBB-USD,BullBear AI USD,0,0,19.45%,0,1.883M,1.883M,1.883M,0
GGG-USD,Good Games Guild USD,0.082196,-0.00286,-3.36%,0,"184,409","184,409","184,409",0
META15404-USD,Meta Musk USD,0,0,-42.00%,0,3,3,3,0
GBR-USD,Gabur USD,0.069397,0,0.00%,0,3,3,3,0
PEEPO-USD,PEEPO USD,0.00000008,-0.00000009,-52.22%,0,5.171M,5.171M,5.171M,0
GFN-USD,Graphene USD,0.003782,-0.000691,-15.44%,0,875,875,875,0
LFT19232-USD,LifeTime USD,0.000002,0,0.00%,0,0,0,0,0
FTC23030-USD,Fintoken Coin USD,0.009098,-0.000827,-8.33%,0,"13,834","13,834","13,834",0
SOLCASH-USD,SOLCash USD,0.000197,-0.000012,-5.70%,0,340,340,340,0
MJT-USD,MojitoSwap USD,0.094664,-0.002975,-3.05%,0,"119,134","119,134","119,134",0
STARLY-USD,Starly USD,0.007638,-0.001685,-18.07%,0,"712,270","712,270","712,270",0
FIT20049-USD,FIT Token USD,0.004051,-0.000002,-0.04%,0,901,901,901,0
BSGG-USD,Betswap.gg USD,0.001167,-0.000033,-2.72%,0,"235,734","235,734","235,734",0
OLEA-USD,Olea Token USD,0.533542,-0.044857,-7.76%,0,"2,284","2,284","2,284",0
UNIC-USD,Unicly USD,3.526,-0.1078,-2.97%,0,"237,486","237,486","237,486",0
PRUF-USD,PRüF Protocol USD,0.000083,0,0.41%,0,"120,761","120,761","120,761",0
SCI-USD,SCI Coin USD,0.000096,0.000006,6.58%,0,18,18,18,0
BPIT-USD,BabyPitbull USD,0.00000004,0,-0.08%,0,5,5,5,0
KRAC-USD,Krabots USD,0.006805,-0.000311,-4.38%,0,58,58,58,0
HONOR-USD,FarmHero USD,0.000127,0,-0.08%,0,6,6,6,0
SIE-USD,Secret USD,0.004915,-0.000043,-0.87%,0,"3,570","3,570","3,570",0
PARAS-USD,Paras USD,0.015359,-0.001173,-7.10%,0,"49,956","49,956","49,956",0
WSB24755-USD,WALL STREET BABY USD,0.00000012,-0.0000001,-46.65%,0,4.98M,4.98M,4.98M,0
NEOFI-USD,NeoFi USD,0.001032,-0.000011,-1.08%,0,"65,133","65,133","65,133",0
BLC24611-USD,Blockscape USD,0.001776,-0.000489,-21.59%,0,"24,760","24,760","24,760",0
FRED-USD,FRED Energy USD,0.000465,0.000002,0.50%,0,26,26,26,0
BONFIRE-USD,Bonfire USD,0.00000001,0,-8.00%,0,892,892,892,0
GTX-USD,GoalTime N USD,0.00004,0,-0.08%,0,15,15,15,0
CFXT-USD,Chainflix USD,0.001426,-0.000009,-0.62%,0,"77,899","77,899","77,899",0
LOOT17623-USD,Lootex USD,0.1653,-0.014134,-7.88%,0,"100,535","100,535","100,535",0
AQUA-USD,Planet USD,29.31,-0.8,-2.67%,0,"21,590","21,590","21,590",0
SMTF-USD,SmartFi USD,0.063036,0.000953,1.53%,0,"17,245","17,245","17,245",0
SDBY-USD,Sadbaby USD,0.0000008,0,-0.08%,0,1,1,1,0
ARIX-USD,Arix USD,0.506731,-0.059161,-10.45%,0,"28,995","28,995","28,995",0
CTRL2XY-USD,Control2XY USD,0.000693,-0.000074,-9.63%,0,632,632,632,0
TRAVEL18597-USD,Travel Care USD,0.000932,-0.000069,-6.88%,0,"2,371","2,371","2,371",0
DSG-USD,Dinosaureggs USD,0.000185,-0.000058,-23.91%,0,"8,478","8,478","8,478",0
SHIL-USD,Shila Inu USD,0.00000009,0,-2.14%,0,318,318,318,0
WAS-USD,Wasder USD,0.015646,-0.001774,-10.19%,0,"436,874","436,874","436,874",0
DOGBOSS-USD,Dog Boss USD,0.742637,-0.039407,-5.04%,0,"1,771","1,771","1,771",0
HPY-USD,Hyper Pay USD,0.00102,-0.000008,-0.82%,0,"1,198","1,198","1,198",0
ZMT-USD,Zipmex USD,0.029367,-0.002011,-6.41%,0,"22,879","22,879","22,879",0
BOOBY-USD,BOOBY USD,0.000115,-0.000008,-6.51%,0,"12,696","12,696","12,696",0
CAW-USD,CAW(A Hunters Dream) USD,0.00000007,-0.00000001,-7.19%,0,2.226M,2.226M,2.226M,0
SHIBTAMA-USD,Shibtama USD,0.00000002,0.00000001,35.26%,0,20,20,20,0
MBET17498-USD,MetaBET USD,0.012454,-0.003469,-21.79%,0,"54,404","54,404","54,404",0
WCRO-USD,Wrapped CRO USD,0.066067,-0.002998,-4.34%,0,1.688M,1.688M,1.688M,0
DMZ-USD,DeMon Token USD,0.030229,-0.004264,-12.36%,0,32,32,32,0
NODL-USD,Nodle USD,0.002955,0.00007,2.43%,0,"76,896","76,896","76,896",0
YTZ-USD,YTizer USD,0.000068,-0.000003,-3.70%,0,6,6,6,0
GIGA21493-USD,GigaSwap USD,0.000018,-0.000002,-7.81%,0,"22,487","22,487","22,487",0
CSD-USD,Crystal Dust USD,0.000286,-0.000006,-2.20%,0,113,113,113,0
PHX23984-USD,Phoenix chain USD,0.000042,-0.000015,-26.74%,0,567,567,567,0
ATK-USD,Attack Wagon USD,0.00111,-0.00008,-6.76%,0,"15,904","15,904","15,904",0
PPP19345-USD,PlayPoseidon NFT USD,0.000231,-0.000005,-1.93%,0,4,4,4,0
NBP-USD,NFTBomb USD,0.000083,0,0.37%,0,"11,330","11,330","11,330",0
BANK-USD,Bankcoin USD,0.00058,-0.000034,-5.56%,0,0,0,0,0
XSOL-USD,Wrapped SOL USD,20.33,-1.73,-7.83%,0,14,14,14,0
HOLA-USD,Hola City USD,0.064854,0.000262,0.41%,0,62,62,62,0
SCAR-USD,ScarQuest USD,0.001883,-0.000186,-9.00%,0,"7,667","7,667","7,667",0
GMINES-USD,Gnome Mines USD,0.00006,-0.000003,-4.18%,0,11,11,11,0
FOXGIRL-USD,FoxGirl USD,0,0,-3.51%,0,39,39,39,0
MTD21418-USD,Minted USD,0.154115,-0.003371,-2.14%,0,"96,951","96,951","96,951",0
TGR-USD,Tegro USD,0.10577,-0.001965,-1.82%,0,10,10,10,0
BCX-USD,BitcoinX USD,0.000271,-0.000004,-1.54%,0,"13,660","13,660","13,660",0
OMT24146-USD,OXY META TOKEN USD,0.250265,-0.012625,-4.80%,0,N/A,N/A,N/A,0
ZZC-USD,ZudgeZury USD,0.00000011,-0.00000001,-8.40%,0,"16,243","16,243","16,243",0
MARSINU-USD,Mars Inu USD,0,0,-0.71%,0,1,1,1,0
JFC-USD,JFIN USD,0.277975,-0.010385,-3.60%,0,"118,180","118,180","118,180",0
LIBFX-USD,Libfx USD,0.002001,-0.000002,-0.08%,0,8,8,8,0
ENV12834-USD,Envoy USD,0.001641,-0.000061,-3.60%,0,"5,137","5,137","5,137",0
ACS23195-USD,Access Protocol USD,0.004344,-0.000317,-6.80%,0,3.202M,3.202M,3.202M,0
WAI-USD,Wanaka Farm WAIRERE Token USD,0.000147,-0.000007,-4.29%,0,679,679,679,0
KRN-USD,KRYZA Network USD,0.00000001,0,7.85%,0,4,4,4,0
MINT24117-USD,MusicN USD,0.49583,0.026903,5.74%,0,"236,783","236,783","236,783",0
PET24323-USD,Poodl Exchange Token USD,0.018341,-0.002855,-13.47%,0,"3,781","3,781","3,781",0
HILO-USD,HILO USD,0.006801,-0.000004,-0.05%,0,692,692,692,0
TALK-USD,Talken USD,0.139693,-0.007339,-4.99%,0,5.417M,5.417M,5.417M,0
ROVI-USD,ROVI USD,0.046596,-0.002699,-5.48%,0,"78,454","78,454","78,454",0
PRVT-USD,PRVT data USD,0.00000255,-0.00000002,-0.81%,0,2,2,2,0
EQ-USD,Equilibrium USD,0.000392,-0.000063,-13.78%,0,"58,647","58,647","58,647",0
XEQ-USD,Equilibria USD,0.006024,0.000234,4.04%,0,"3,186","3,186","3,186",0
DXGM-USD,DEXGame USD,0.011751,-0.000525,-4.27%,0,"237,666","237,666","237,666",0
SAFEICARUS-USD,Safeicarus USD,0,0,-1.93%,0,3,3,3,0
ALL23440-USD,All U Can USD,0,0,-3.48%,0,0,0,0,0
CSM20361-USD,Cricket Star Manager USD,0.008483,-0.000058,-0.68%,0,"5,130","5,130","5,130",0
ISKY-USD,Infinity Skies USD,0.004113,-0.000044,-1.06%,0,"10,304","10,304","10,304",0
INVI-USD,Invitoken USD,1.4268,-0.0031,-0.22%,0,"66,459","66,459","66,459",0
ELEF-USD,ELEF WORLD USD,0.00000042,-0.00000001,-2.22%,0,1,1,1,0
RIDE-USD,holoride USD,0.02725,-0.001763,-6.08%,0,"90,600","90,600","90,600",0
MOMO-USD,Momo Protocol USD,0.00044,0,-0.08%,0,6,6,6,0
KACY-USD,Kassandra USD,0.183077,-0.019926,-9.82%,0,"1,400","1,400","1,400",0
SETH2-USD,sETH2 USD,"1,826.52",-79.43,-4.17%,0,"789,753","789,753","789,753",0
DRE-USD,Doren USD,0.081546,-0.002165,-2.59%,0,"2,103","2,103","2,103",0
JACK-USD,Jack Token USD,0.985175,-0.056695,-5.44%,0,"124,924","124,924","124,924",0
IMO-USD,IMO USD,0.168194,-0.007813,-4.44%,0,254,254,254,0
ASTROAI-USD,Astro Ai USD,0.009429,-0.000374,-3.81%,0,19,19,19,0
ELMOINU-USD,ELmo Inu USD,0,0,-94.59%,0,"415,785","415,785","415,785",0
CPR17545-USD,Cipher USD,0.000124,-0.000024,-16.11%,0,"379,554","379,554","379,554",0
LOPES-USD,Leandro Lopes USD,0.953841,0.003373,0.35%,0,"405,859","405,859","405,859",0
HID-USD,Hypersign identity USD,0.015142,-0.00131,-7.96%,0,"16,201","16,201","16,201",0
SFUSD-USD,StableFund USD USD,0.000985,0.000125,14.54%,0,10,10,10,0
SPORTS-USD,ZenSports USD,0.00004,0.000001,3.36%,0,"6,717","6,717","6,717",0
WELL20734-USD,Moonwell USD,0.005538,-0.00073,-11.65%,0,"876,983","876,983","876,983",0
PC24801-USD,Pepechain USD,0.003144,-0.001263,-28.65%,0,"317,069","317,069","317,069",0
ROSX-USD,Roseon USD,0.031532,0.000256,0.82%,0,"13,738","13,738","13,738",0
PS1-USD,POLYSPORTS USD,0.001582,-0.000064,-3.91%,0,"3,561","3,561","3,561",0
MIRL-USD,Made In Real Life USD,0.000673,-0.000127,-15.83%,0,"946,784","946,784","946,784",0
BERGERDOGE-USD,BergerDoge USD,0,0,-4.29%,0,141,141,141,0
CWBTC-USD,Compound Wrapped BTC USD,554.71,-30.17,-5.16%,0,183,183,183,0
SHIELD22993-USD,Dejitaru Shirudo USD,0.000134,-0.000083,-38.33%,0,"31,349","31,349","31,349",0
GRAP-USD,GRAP USD,0.025353,-0.000551,-2.13%,0,62,62,62,0
SAFEMARS-USD,Safemars USD,0.00000001,0,-5.73%,0,"16,257","16,257","16,257",0
KYCC-USD,KYCCOIN USD,0.015449,-0.000773,-4.76%,0,"4,986","4,986","4,986",0
FRP-USD,Fame Reward Plus USD,60.55,-2.69,-4.25%,0,"167,577","167,577","167,577",0
RAK-USD,Rake Finance USD,19.89,-1.09,-5.20%,0,"164,152","164,152","164,152",0
GOTEM-USD,gotEM USD,0.00024,0.00004,20.03%,0,3,3,3,0
SHUMO-USD,SHUMO USD,0.00000061,0,-0.35%,0,66,66,66,0
SHIBO23187-USD,Shibosu USD,0,0,0.00%,0,19,19,19,0
BVT-USD,BovineVerse Token USD,0.019496,-0.008168,-29.53%,0,"195,688","195,688","195,688",0
BIO-USD,BITONE USD,0.132075,-0.005809,-4.21%,0,"26,474","26,474","26,474",0
KUB-USD,Bitkub Coin USD,1.6097,-0.0674,-4.02%,0,"742,184","742,184","742,184",0
GNOME15176-USD,GNOME USD,0.269001,-0.020482,-7.08%,0,"4,551","4,551","4,551",0
YOSHI24826-USD,Yoshi inu USD,0.000015,-0.000008,-35.07%,0,"4,724","4,724","4,724",0
WOW19552-USD,WOW-token USD,0.02837,-0.000031,-0.11%,0,15,15,15,0
UCR-USD,Ultra Clear USD,0.003261,0.001241,61.43%,0,238,238,238,0
GTI-USD,GTI Token USD,0.037029,-0.001009,-2.65%,0,31,31,31,0
MCF-USD,MCF Token USD,0.000751,-0.000001,-0.10%,0,1,1,1,0
NUT23581-USD,Nucleon USD,30.57,-5.92,-16.22%,0,"68,858","68,858","68,858",0
AMB19556-USD,Apple USD,0.113443,-0.004779,-4.04%,0,"42,077","42,077","42,077",0
GAN-USD,Galactic Arena: The NFTverse USD,0.000119,-0.000003,-2.86%,0,"13,237","13,237","13,237",0
CIRRUS-USD,Cirrus USD,0.526699,-0.000404,-0.08%,0,906,906,906,0
GMI17311-USD,GamiFi.GG USD,0.000128,-0.000027,-17.40%,0,"18,238","18,238","18,238",0
1SOL-USD,1Sol USD,0.005152,-0.000456,-8.13%,0,"42,158","42,158","42,158",0
AUR-USD,Auroracoin USD,0.023,-0.001317,-5.42%,0,54,54,54,0
PURR20771-USD,SpartaCats USD,0.00000012,-0.00000001,-5.07%,0,676,676,676,0
CZATS-USD,Catoshi DAO USD,0.001033,-0.000008,-0.81%,0,0,0,0,0
ABC21696-USD,ABC Floor Index USD,0.193806,0,0.00%,0,0,0,0,0
WTWOOL-USD,Wolf Town Wool USD,0.000131,-0.000004,-2.99%,0,729,729,729,0
XRX-USD,REX USD,0.000059,0,-0.24%,0,"3,331","3,331","3,331",0
DUSD18861-USD,Decentralized USD(Defichain) USD,0.446591,-0.02079,-4.45%,0,"948,088","948,088","948,088",0
ODA23623-USD,Odasea USD,0.000034,-0.000003,-7.01%,0,867,867,867,0
NFTL12920-USD,Nifty League USD,0.001338,-0.00004,-2.91%,0,407,407,407,0
STRELKAAI-USD,Strelka AI USD,0.000061,-0.000001,-1.76%,0,2,2,2,0
BEFX23583-USD,Belifex USD,0.000542,-0.000055,-9.25%,0,"2,854","2,854","2,854",0
SPKI-USD,Spike Inu USD,0,0,0.00%,0,N/A,N/A,N/A,0
PRCH-USD,Power Cash USD,0.00000001,0,25.81%,0,1,1,1,0
RUYI-USD,Ruyi USD,0.000043,0.000005,12.85%,0,13,13,13,0
METO-USD,Metoshi USD,0.000029,-0.000003,-9.82%,0,"1,001","1,001","1,001",0
ELT19238-USD,EdenLoop USD,0.036789,-0.000614,-1.64%,0,"27,083","27,083","27,083",0
FREN22571-USD,FrenChain USD,0.000017,0,0.00%,0,16,16,16,0
SUPER19331-USD,PeerMe USD,0.040889,0.001468,3.72%,0,"4,736","4,736","4,736",0
ORE14997-USD,Outrace USD,0.000062,-0.000019,-23.16%,0,"3,291","3,291","3,291",0
KATZ22057-USD,LUCKY CATS USD,0.000388,0.000025,6.80%,0,"1,918","1,918","1,918",0
JMPT-USD,JumpToken USD,1.9937,-0.0234,-1.16%,0,"72,260","72,260","72,260",0
NETT-USD,Netswap USD,0.189409,-0.016838,-8.16%,0,"9,637","9,637","9,637",0
BBTC-USD,Baby Bitcoin USD,0,0,-4.15%,0,"1,539","1,539","1,539",0
VNDC-USD,VNDC USD,0.000043,-0.000001,-2.55%,0,350,350,350,0
CALI-USD,CaliCoin USD,0.015179,-0.000052,-0.34%,0,"100,621","100,621","100,621",0
COAL6248-USD,Coalculus USD,0.002416,0.00028,13.11%,0,944,944,944,0
SUNNY-USD,Sunny Aggregator USD,0.000034,-0.000004,-11.41%,0,"52,816","52,816","52,816",0
WAIFU24842-USD,WAIFU USD,0.000036,-0.000004,-10.15%,0,"1,431","1,431","1,431",0
MVP14921-USD,Microverse USD,0.000065,0,-0.08%,0,N/A,N/A,N/A,0
SOLAPE-USD,SolAPE Token USD,0.001999,-0.000002,-0.08%,0,185,185,185,0
MARAN-USD,MaranBet USD,0.000103,0,-0.10%,0,"11,004","11,004","11,004",0
DGOLD-USD,PolyDragon USD,0.00000569,0.00000004,0.64%,0,2,2,2,0
CZBNB-USD,CZbnb USD,8.6908,-0.3175,-3.52%,0,2,2,2,0
WCANTO-USD,Wrapped CANTO USD,0.216097,-0.013914,-6.05%,0,5.316M,5.316M,5.316M,0
SWEEP22309-USD,Sweeptoken USD,0,0,-9.79%,0,"159,458","159,458","159,458",0
UMT-USD,UnityMeta USD,697.58,-8.32,-1.18%,0,"18,137","18,137","18,137",0
ADO-USD,ADO Protocol USD,0.006442,0.003297,104.85%,0,"58,612","58,612","58,612",0
VISION-USD,APY Vision USD,0.004051,-0.438987,-99.09%,0,992,992,992,0
MOR20596-USD,MOREAL USD,0.250368,0,0.00%,0,36,36,36,0
SANINU-USD,Santa Inu USD,0,0,-3.69%,0,1,1,1,0
MWAR-USD,MemeWars USD,0.000194,-0.000002,-0.81%,0,1,1,1,0
SKET-USD,Sketch Coin USD,0.002438,-0.000001,-0.04%,0,"3,730","3,730","3,730",0
GUILD-USD,BlockchainSpace USD,0.005943,-0.000731,-10.95%,0,"98,010","98,010","98,010",0
RIA23018-USD,Calvaria: Duels of Eternity USD,0.001966,-0.0001,-4.85%,0,"73,465","73,465","73,465",0
CIR-USD,CircleSwap USD,0.067568,-0.001484,-2.15%,0,"13,102","13,102","13,102",0
HUSKY-USD,Husky USD,0,0,0.00%,0,55,55,55,0
QR-USD,Qrolli USD,0.000041,0,0.00%,0,398,398,398,0
METAV-USD,MetaVPad USD,0.005238,-0.00021,-3.85%,0,"78,557","78,557","78,557",0
3AIR-USD,3air USD,0.005875,-0.000046,-0.77%,0,"39,651","39,651","39,651",0
DGF-USD,Doge Gold Floki USD,0.024404,-0.000504,-2.02%,0,5,5,5,0
BIRB-USD,Birb USD,0.00374,-0.000119,-3.08%,0,"1,912","1,912","1,912",0
COPE24556-USD,Cope USD,0.00001,-0.000006,-38.74%,0,"268,454","268,454","268,454",0
DEUS-USD,DEUS Finance USD,45.47,-0.25,-0.55%,0,"971,934","971,934","971,934",0
ANFT-USD,Artwork NFT USD,0.00000002,0,-0.08%,0,10,10,10,0
KOJI-USD,Koji USD,0.00000039,0,-0.06%,0,802,802,802,0
MONS-USD,Monsters Clan USD,0.012683,-0.000354,-2.72%,0,"89,291","89,291","89,291",0
RAMA-USD,Ramestta USD,0.260148,-0.041254,-13.69%,0,436,436,436,0
BOOP-USD,Boop USD,0.338356,-0.02396,-6.61%,0,"2,640","2,640","2,640",0
CLAW24052-USD,Claw USD,0.00000018,0,-2.14%,0,188,188,188,0
HOKK-USD,HOKK Finance USD,0.000483,0.000032,7.21%,0,"5,959","5,959","5,959",0
BVC-USD,Crypto Chip Token USD,0.000522,-0.000016,-3.00%,0,"1,479","1,479","1,479",0
NOVA12059-USD,ShibaNova USD,0.029242,-0.000887,-2.94%,0,224,224,224,0
SHIBOT-USD,SHIBOT USD,0.00000002,-0.00000002,-43.89%,0,"5,593","5,593","5,593",0
CONDOMS-USD,SolCondoms USD,0.000022,0,-0.29%,0,1,1,1,0
YFX-USD,Your Future Exchange USD,0.052643,-0.001055,-1.96%,0,"55,967","55,967","55,967",0
WARC-USD,WrappedARC USD,0.000051,-0.000003,-5.73%,0,237,237,237,0
PLATA-USD,Plata Network USD,0.000268,-0.000019,-6.73%,0,59,59,59,0
DASHD-USD,Dash Diamond USD,0.004308,-0.000481,-10.04%,0,482,482,482,0
EDUX-USD,Edufex USD,0.000157,0,-0.18%,0,"74,098","74,098","74,098",0
ACID-USD,0xACID USD,365.57,-25.63,-6.55%,0,"25,091","25,091","25,091",0
PI16193-USD,Pi USD,18.23,-3.06,-14.38%,0,"650,028","650,028","650,028",0
FILST-USD,Filecoin Standard Hashrate Token USD,0.629698,-0.02892,-4.39%,0,"13,288","13,288","13,288",0
BOBC-USD,Bobcoin USD,0.864959,-0.025441,-2.86%,0,"217,095","217,095","217,095",0
INR-USD,INERY USD,0.038937,-0.002106,-5.13%,0,3.816M,3.816M,3.816M,0
ICW-USD,iCrypto World USD,0.005067,0.001072,26.85%,0,391,391,391,0
ZED-USD,ZED Token USD,0.015534,-0.000647,-4.00%,0,"54,552","54,552","54,552",0
ABR-USD,Allbridge USD,0.167729,0.00086,0.52%,0,"2,056","2,056","2,056",0
BLS-USD,Blocks Space USD,0.000289,0,0.07%,0,6,6,6,0
FWB-USD,Friends With Benefits Pro USD,4.15,-0.2189,-5.01%,0,682,682,682,0
BIGETH-USD,BIG ETH USD,0.00000015,0,-0.06%,0,0,0,0,0
BLUES-USD,Blueshift USD,0.054149,-0.001924,-3.43%,0,957,957,957,0
CON19311-USD,Meta Continental USD,0.000244,-0.000016,-5.97%,0,19,19,19,0
KRX-USD,KRYZA Exchange USD,0.006122,-0.00028,-4.38%,0,892,892,892,0
BITBOY-USD,BITCOIN BOY USD,0.000297,-0.000002,-0.82%,0,133,133,133,0
XJEWEL-USD,xJEWEL USD,0.278997,-0.014771,-5.03%,0,557,557,557,0
SYA-USD,SaveYourAssets USD,0,0,-3.83%,0,643,643,643,0
MEISHU-USD,Meishu USD,0.000576,0,0.00%,0,"1,550","1,550","1,550",0
UIM-USD,UNIVERSE ISLAND USD,0.00000357,-0.00000003,-0.76%,0,39,39,39,0
UMI12737-USD,Umi Digital USD,0.00000171,-0.00000008,-4.29%,0,2,2,2,0
GNP-USD,Genie Protocol USD,0.000515,0.000002,0.29%,0,"41,318","41,318","41,318",0
MNB-USD,Mineable USD,0.013095,-0.000314,-2.34%,0,"1,187","1,187","1,187",0
BFG-USD,BFG Token USD,0.015867,-0.000629,-3.82%,0,"262,347","262,347","262,347",0
UCM-USD,UCROWDME USD,0.000607,0.000198,48.31%,0,"3,505","3,505","3,505",0
KSC13545-USD,KingSpeed USD,0.001231,-0.000005,-0.42%,0,36,36,36,0
POOCOIN-USD,PooCoin USD,0.286477,-0.015507,-5.13%,0,"1,640","1,640","1,640",0
CZBOMB-USD,CZbomb USD,0.024185,0,0.00%,0,0,0,0,0
FORTUNE-USD,Fortune USD,0.000171,0,0.00%,0,791,791,791,0
EWC-USD,Erugo World Coin USD,0.092203,-0.020483,-18.18%,0,"31,497","31,497","31,497",0
COC14292-USD,Coin Of Champions USD,0.00000001,0,-26.36%,0,6,6,6,0
DINGO-USD,DINGO TOKEN (old) USD,0,0,-40.40%,0,135,135,135,0
MIMO10831-USD,Mimo Governance Token USD,0.025738,-0.003782,-12.81%,0,"12,217","12,217","12,217",0
GDR11699-USD,Golden Roots USD,0.000034,0,0.58%,0,1,1,1,0
EFB-USD,ETHFan Burn USD,0.0000003,-0.00000001,-3.79%,0,34,34,34,0
MAP24799-USD,4D Twin Maps USD,0.00000005,0,-6.88%,0,2,2,2,0
ROAR17566-USD,AlphaDEX USD,0.005342,-0.000805,-13.10%,0,"53,042","53,042","53,042",0
ODIN23628-USD,AsgardX USD,0.052439,-0.002401,-4.38%,0,31,31,31,0
ZINU22917-USD,Zombie Inu(New) USD,0.001328,0.000175,15.22%,0,"229,661","229,661","229,661",0
LOFI20492-USD,LOFI USD,0.006333,0.000279,4.61%,0,"5,267","5,267","5,267",0
